star_name,TSS_tier,ra,dec,sy_pmra,sy_pmdec,tic_id,gaia_dr3_id,hip_name,hd_name,tm_name,gj_name,simbad_name,sy_plx,sy_dist,st_lum,sy_vmag
TIC 176521059,1,87.14558393876,-4.09464431585,61.42699725421628,-229.29120099564255,176521059,3023711269067191296,27435,HD 38858,2MASS J05483495-0405404,GJ 1085,HD  38858,65.74459508507027,15.206184387207031,-0.0849637835766,5.97
TIC 181273463,1,130.82512663601,-38.88238053626,-301.128366098539,340.1991349714583,181273463,5528866839863569024,42808,HD 74576,2MASS J08431805-3852569,GJ 320,HD  74576,89.35224058068819,11.189918518066406,-0.4976177575604668,6.56
TIC 101641846,1,175.26256639994,34.20163402669,-12.521605057437956,-381.1958714817105,101641846,4025850731201819392,56997,HD 101501,2MASS J11410301+3412064,GJ 434,*  61 UMa,104.4251704149638,9.570520401000977,-0.2043979636478317,5.34
TIC 381949122,1,76.37773407604,-57.47270248315,-31.90284638111717,117.94036172750552,381949122,4763906879239461632,23693,HD 33262,2MASS J05053067-5728217,GJ 189,* zet Dor,85.52329311905011,11.69438934326172,0.1716673728825702,4.708
TIC 328324648,1,112.4831534377,49.67246155111,111.04697948837028,-82.8842809292091,328324648,976893923544104576,36439,HD 58855,2MASS J07295595+4940207,GJ 9234,*  22 Lyn,49.01447010490516,20.3931884765625,0.3886141845357856,5.357
TIC 279649057,1,49.4423471274,-62.5753205803,1337.5303752785856,649.8397532183421,279649057,4722111590409480064,15330,HD 20766,2MASS J03174616-6234313,GJ 136,* zet01 Ret,83.02397018243857,12.043172836303713,-0.0993693652405247,5.54
TIC 179348425,1,236.87125283468,-37.9163117471,-415.5065784720489,-213.99093760389204,179348425,6009538585839374336,77358,HD 140901,2MASS J15472911-3754587,GJ 599 A,HD 140901,65.58889545142002,15.236676216125488,-0.0887604106516544,6.01
TIC 355127594,1,137.21279392804,33.88221892017,-191.41313447777296,-114.63019595671456,355127594,714116137767540096,44897,HD 78366,2MASS J09085105+3352556,GJ 334.2,HD  78366,52.770915253748626,18.937105178833008,0.098670162077907,5.955
TIC 11310083,1,145.56006885367,-23.91557057888,-399.4967505319404,262.3193092074325,11310083,5663558453071724288,47592,HD 84117,2MASS J09421443-2354563,GJ 364.0,HD  84117,66.8827127039656,14.948387145996094,0.3038718147564719,4.94
TIC 1277142190,1,258.83743593135,-26.60282206323,-465.86077428732233,-1141.1676949906755,1277142190,4109030160308317312,null,HD 155885,null,GJ 663 B,*  36 Oph B,168.13027793748972,5.947053909301758,-0.4801582883951705,5.03
TIC 27136704,1,76.86252520595,18.6450499841,534.6739248135351,18.44877914876697,27136704,3407611182744289152,23835,HD 32923,2MASS J05072692+1838420,GJ 188.0,* m Tau,62.82520159680892,15.906935691833496,0.3819530143004444,4.922
TIC 83391616,1,214.75373187891,-25.81542555564,-359.0368172376034,364.426103312269,83391616,6270906415441316224,69965,HD 125276,2MASS J14190091-2548557,GJ 9476 A,HD 125276,55.59003779052883,17.978723526000977,0.0815347259604763,5.87
TIC 326096771,1,303.82246521604,-27.03297599512,1242.7627067001158,-181.1749780311303,326096771,6847167606385195648,99825,HD 192310,2MASS J20151734-2701585,GJ 785,HD 192310,113.48717988476642,8.808856010437012,-0.3924066745537518,5.723
TIC 371520835,1,152.84225011814,49.45423587723,-1363.2871863986295,-505.7703588749188,371520835,823773494718931968,49908,HD 88230,2MASS J10112218+4927153,GJ 380,HD  88230,205.31478196510724,4.869897365570068,-0.9300596308920396,6.61
TIC 135656809,1,243.90529322864,-8.36943947035,232.2303207442892,-495.3782016299215,135656809,4345775217221821312,79672,HD 146233,2MASS J16153726-0822096,GJ 616,*  18 Sco,70.73714672122247,14.131851196289062,0.0394720673896191,5.5
TIC 373694425,1,26.93680679166,63.85250203352,581.6839683076576,-246.46226734889737,373694425,512167948043650816,8362,HD 10780,2MASS J01474488+6351090,GJ 75,HD  10780,99.59015235307108,10.038540840148926,-0.2708874389503591,5.63
TIC 259291108,1,336.23488364067,-57.79745133668,129.65788227319683,-352.42479846673154,259291108,6408551802222368384,110649,HD 212330,2MASS J22245638-5747508,GJ 857,HD 212330,49.1648408419914,20.32198143005371,0.4304595059022467,5.31
TIC 303704858,1,272.60896323903,-62.00223869402,-76.95190101786314,222.4517728684893,303704858,6634032740544236032,89042,HD 165499,2MASS J18102614-6200078,GJ 9616,* iot Pav,56.19606259949654,17.797475814819336,0.2410089132463996,5.49
TIC 352402781,1,301.38652182532,-67.3208969078,845.2518423828997,-674.21301724364,352402781,6427244702486210816,98959,HD 189567,2MASS J20053286-6719156,GJ 776,HD 189567,55.76543555731051,17.927154541015625,0.0163047607947032,6.07
TIC 234968549,1,349.24036416257,-62.00119966025,176.49173473906038,-26.091789892367963,234968549,6489909443564308224,114948,HD 219482,2MASS J23165765-6200043,GJ 1282,HD 219482,48.91744275954628,20.436433792114254,0.2748952118530709,5.647
TIC 393844873,1,128.21456583342,-31.50085074487,-1113.7390982321283,762.4197048630538,393844873,5640565607657897728,41926,HD 72673,2MASS J08325148-3130031,GJ 309,HD  72673,82.20799300166873,12.162492752075195,-0.3951450799694282,6.38
TIC 141523112,1,101.5589542028,79.56481016336,-99.16304484778604,-604.042255390708,141523112,1141280704422528128,32439,HD 46588,2MASS J06461411+7933542,GJ 9215,HD  46588,54.93795853293205,18.195476531982425,0.2614353829777957,5.444
TIC 142103211,1,80.63970420338,79.23115073835,-78.66075047072465,162.09818613213187,142103211,553480551264062848,25110,HD 33564,2MASS J05223348+7913519,GJ 196,HD  33564,48.109843338113144,20.777673721313477,0.5097743505819217,5.101
TIC 9150015,1,60.65310477655,-0.26892183989,150.02720734285322,-251.58943536828917,9150015,3256786534197166208,18859,HD 25457,2MASS J04023675-0016078,GJ 159,HD  25457,53.45587591763632,18.698875427246097,0.3033073839273715,5.38
TIC 329574145,1,271.59882967894,-36.01978596212,106.01981606684002,8.811725078085344,329574145,4038724053986441856,88694,HD 165185,2MASS J18062370-3601113,GJ 702.1,HD 165185,58.42963261536771,17.107667922973633,0.0141267994874982,5.95
TIC 311063391,1,85.33473220155,53.48105850474,2.803536776527377,-523.477490445451,311063391,263916708025623680,26779,HD 37394,2MASS J05412033+5328523,GJ 211,HD  37394,81.4987133119068,12.26392650604248,-0.3217246983013318,6.23
TIC 367631379,1,157.76892509305,82.55868210082,-86.13272545487838,19.83218185075603,367631379,1146337324038514176,51502,HD 90089,2MASS J10310454+8233309,GJ 9330,HD  90089,43.436727240335145,22.948970794677734,0.5211977926044783,5.252
TIC 166853853,1,40.63944368063,-50.80029339482,333.7156354272668,219.42328991689652,166853853,4745373133284418816,12653,HD 17051,2MASS J02423346-5048008,GJ 108,* iot Hor,57.613144345224306,17.356712341308594,0.2417867661536222,5.4
TIC 206686962,1,344.10022208348,-31.56556530373,330.2033788189263,-158.6023341436887,206686962,6604147121141267712,113283,HD 216803,2MASS J22562403-3133559,GJ 879,V* TW PsA,131.55250924995755,7.599592208862305,-0.7077582559318212,6.48
TIC 353969903,1,165.834303,35.969748,-580.3,-4765.9,353969903,762815470562110464,54035,HD 95735,2MASS J11032023+3558117,GJ 411,HD  95735,392.7529,2.5461,-1.6218811803041548,7.52
TIC 257393898,1,12.0957346922,5.28061389702,755.893500290751,-1141.719303057953,257393898,2552925644460225152,3765,HD 4628,2MASS J00482303+0516497,GJ 33,HD   4628,134.49484768931154,7.433147430419922,-0.5225898925069997,5.74
TIC 409104974,1,79.78531442686,40.09905267708,520.5689114669946,-664.487871734592,409104974,188771135583573504,24813,HD 34411,2MASS J05190848+4005565,GJ 197,* lam Aur,79.6021083335795,12.55730152130127,0.2515482805284884,4.71
TIC 399665349,1,72.46004321856,6.96127478521,463.9544034849098,11.937009936843957,399665349,3288921720025503360,22449,HD 30652,2MASS J04495040+0657409,GJ 178,* pi.03 Ori,124.61980141424488,8.024456024169922,0.4554831873398133,3.19
TIC 419919445,1,354.98765749405,5.62629107296,376.4966061507007,-436.7597624667563,419919445,2756363608023588864,116771,HD 222368,2MASS J23395706+0537343,GJ 904,* iot Psc,73.23703628604858,13.656708717346191,0.5299644284330626,4.12
TIC 229902025,1,226.8252744616,24.8691931219,184.7140536323467,-164.27907154680298,229902025,1264630412816366720,73996,HD 134083,2MASS J15071805+2452094,GJ 578,* c Boo,51.187520920833634,19.52547836303711,0.5206394681750469,4.93
TIC 326242565,1,41.27584766906,-18.57263295284,318.56773976043957,48.17070857421047,326242565,5129338021224785408,12843,HD 17206,2MASS J02450616-1834211,GJ 111.0,* tau01 Eri,70.0458650896813,14.267354011535645,0.4262108775910279,4.46
TIC 93279196,1,86.11057040435,-22.42183729712,-304.9050366049925,-352.60573023076597,93279196,2964001014514075520,null,HD 38392,2MASS J05442655-2225184,GJ 216 B,V* AK Lep,112.46606502613808,8.890215873718262,-0.5538347027910387,6.15
TIC 1674663309,1,271.3644238561,2.49537786946,206.52500310614036,-1107.4919291637984,1674663309,4468557611984384512,null,HD 165341A,null,GJ 702 A,*  70 Oph A,195.5673545594233,5.112358570098877,-0.288855667884977,4.208
TIC 296740796,1,236.61089345437,7.35306712418,-223.9521808368752,-69.76269002453373,296740796,4430238051199001216,77257,HD 141004,2MASS J15462661+0721109,GJ 598,* lam Ser,83.921443569609,11.904708862304688,0.3083784912608913,4.42
TIC 229137615,1,25.62214534305,-53.74083087973,166.04054972266235,-105.4958102197813,229137615,4912580642524184960,7978,HD 10647,2MASS J01422932-5344271,GJ 3109,* q01 Eri,57.640899065213326,17.34404945373535,0.1907891638220841,5.52
TIC 58092025,1,249.08937204273,-2.32458677361,456.0583031942775,-309.2240972920396,58092025,4358031335898505472,81300,HD 149661,2MASS J16362142-0219281,GJ 631,*  12 Oph,101.07188811909556,9.890096664428713,-0.3375409230747925,5.77
